Team,Tm,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Cleveland Cavaliers,CLE,66,16,.805,8.93,113.29,103.20,10.09,8.68,113.18,103.37,9.80
Boston Celtics,BOS,62,20,.756,7.51,111.25,103.02,8.24,7.44,111.21,103.05,8.16
Los Angeles Lakers,LAL,65,17,.793,7.66,113.43,105.29,8.14,7.11,113.00,105.45,7.55
Orlando Magic,ORL,59,23,.720,6.70,109.66,102.58,7.08,6.49,109.52,102.66,6.86
Portland Trail Blazers,POR,54,28,.659,5.34,114.74,108.68,6.06,5.00,114.62,108.94,5.67
Houston Rockets,HOU,53,29,.646,4.00,109.22,104.67,4.55,3.73,108.94,104.69,4.25
San Antonio Spurs,SAS,54,28,.659,3.76,109.18,105.01,4.17,3.36,108.79,105.05,3.74
Denver Nuggets,DEN,54,28,.659,3.41,111.03,107.68,3.35,3.13,110.83,107.78,3.05
Utah Jazz,UTA,48,34,.585,2.65,110.84,107.89,2.96,2.31,110.52,107.93,2.59
Atlanta Hawks,ATL,47,35,.573,1.57,110.28,108.43,1.84,1.70,110.49,108.51,1.98
Dallas Mavericks,DAL,50,32,.610,1.98,111.20,109.14,2.06,1.68,111.03,109.29,1.74
Phoenix Suns,PHO,46,36,.561,1.93,114.20,112.30,1.89,1.62,114.12,112.55,1.57
New Orleans Hornets,NOH,49,33,.598,1.55,109.75,108.07,1.68,1.41,109.60,108.07,1.53
Miami Heat,MIA,43,39,.524,0.26,108.34,108.28,0.06,0.49,108.56,108.24,0.32
Philadelphia 76ers,PHI,41,41,.500,0.07,108.79,108.79,0.00,0.16,108.89,108.79,0.10
Chicago Bulls,CHI,41,41,.500,-0.28,109.32,109.54,-0.22,-0.16,109.48,109.57,-0.09
Detroit Pistons,DET,39,43,.476,-0.49,108.21,108.79,-0.58,-0.36,108.34,108.78,-0.44
Indiana Pacers,IND,36,46,.439,-1.11,108.76,109.88,-1.12,-0.76,109.13,109.86,-0.73
Milwaukee Bucks,MIL,34,48,.415,-1.09,107.44,108.61,-1.18,-0.87,107.60,108.54,-0.94
Charlotte Bobcats,CHA,35,47,.427,-1.27,105.42,107.01,-1.59,-1.19,105.43,106.93,-1.50
New York Knicks,NYK,32,50,.390,-2.61,108.70,111.41,-2.71,-2.33,109.03,111.44,-2.41
New Jersey Nets,NJN,34,48,.415,-2.44,109.14,111.85,-2.71,-2.31,109.33,111.89,-2.56
Toronto Raptors,TOR,33,49,.402,-2.82,107.72,110.69,-2.97,-2.53,107.99,110.66,-2.66
Golden State Warriors,GSW,29,53,.354,-3.74,109.94,113.76,-3.82,-3.80,109.98,113.86,-3.89
Minnesota Timberwolves,MIN,24,58,.293,-4.91,106.75,112.18,-5.43,-4.74,106.78,112.00,-5.23
Memphis Grizzlies,MEM,24,58,.293,-5.46,104.51,110.62,-6.12,-5.22,104.48,110.33,-5.84
Oklahoma City Thunder,OKC,23,59,.280,-6.10,103.59,110.06,-6.47,-6.03,103.41,109.82,-6.41
Washington Wizards,WAS,19,63,.232,-7.46,105.98,114.23,-8.26,-6.98,106.39,114.11,-7.73
Sacramento Kings,SAC,17,65,.207,-8.76,106.30,115.64,-9.34,-8.59,106.32,115.50,-9.18
Los Angeles Clippers,LAC,19,63,.232,-8.77,102.87,112.52,-9.65,-8.46,102.84,112.16,-9.31


